 reportby,reportId,title,TLP,publishDate,email(s),fileName,fileIdentifier,md5,sha1,sha256,registry,filePath,domain,domainTimeOfLookup,port,IP,url,networkIdentifier,reliability,description,version
FC3,FC308242855,FAKE PALO ALTO,AMBER,02/09/2024,,Setup[.]exe,,9b785d95bf9b3bc03a49c01a93072dc3,79b38c4be5ac888e38ec5f21ac3710f3d0936a72,e3880c7db78e09748fe9caf02f330b1c61cd3aaaa31ffe93fb5ba1fb1035f761,,,portal[.]sharjahconnect[.]online,,,94[.]131[.]108[.]78,hxxp://94[.]131[.]108[.]78:7118/B/hi/,,Suspected,,1
FC3,FC308242855,FAKE PALO ALTO,AMBER,02/09/2024,,GlobalProtect[.]exe,,68c16b6f178c88c12c9555169887c321,72cdd3856a3ffd530db50e0f48e71f089858e44f,a23adcce96b743d1ecc5a0410fdb6326ae7fff2e78917f51cc70497320dbe750,,,tdyfbwxngpmixjiqtjjote3k9qwc31dsx[.]oast[.]fun ,,,,hxxp://94[.]131[.]108[.]78:7118/B/desktop/ ,,Suspected,,1
